Zoidberg,37,113,133,151,scene00001.jpg,960,540
Amy,605,61,111,97,scene00001.jpg,960,540
Hermes,728,111,122,125,scene00001.jpg,960,540
Leela,214,232,146,194,scene00001.jpg,960,540
Bender,313,216,150,130,scene00001.jpg,960,540
Phillip Fry,392,339,280,201,scene00001.jpg,960,540
Farnsworth,512,261,238,137,scene00001.jpg,960,540
Zapp,235,99,109,100,scene00001.jpg,960,540
Kif,278,122,216,78,scene00001.jpg,960,540
Morbo,326,179,210,79,scene00001.jpg,960,540
Lrr,223,175,172,74,scene00001.jpg,960,540
HynoPigeon,122,235,184,132,scene00001.jpg,960,540
Zoidberg,30,110,143,156,scene00002.jpg,960,540
Amy,592,63,129,103,scene00002.jpg,960,540
Hermes,732,128,115,108,scene00002.jpg,960,540
Leela,196,247,155,170,scene00002.jpg,960,540
Bender,312,229,147,120,scene00002.jpg,960,540
Phillip Fry,397,338,277,202,scene00002.jpg,960,540
Farnsworth,497,230,266,181,scene00002.jpg,960,540
Zapp,233,106,120,95,scene00002.jpg,960,540
Kif,279,131,214,69,scene00002.jpg,960,540
Morbo,312,169,230,104,scene00002.jpg,960,540
Lrr,217,184,186,64,scene00002.jpg,960,540
HynoPigeon,128,236,174,122,scene00002.jpg,960,540
Zoidberg,29,107,135,165,scene00003.jpg,960,540
Amy,595,48,123,127,scene00003.jpg,960,540
Hermes,724,133,126,105,scene00003.jpg,960,540
Leela,203,240,154,189,scene00003.jpg,960,540
Bender,321,226,135,112,scene00003.jpg,960,540
Phillip Fry,411,360,263,180,scene00003.jpg,960,540
Farnsworth,496,257,262,150,scene00003.jpg,960,540
Zapp,238,103,98,86,scene00003.jpg,960,540
Kif,274,127,214,81,scene00003.jpg,960,540
Morbo,362,179,178,102,scene00003.jpg,960,540
Lrr,242,182,160,65,scene00003.jpg,960,540
HynoPigeon,123,237,196,128,scene00003.jpg,960,540
Zoidberg,19,116,159,146,scene00004.jpg,960,540
Amy,594,57,127,111,scene00004.jpg,960,540
Hermes,732,127,100,112,scene00004.jpg,960,540
Leela,218,243,137,177,scene00004.jpg,960,540
Bender,312,226,146,119,scene00004.jpg,960,540
Phillip Fry,425,349,252,191,scene00004.jpg,960,540
Farnsworth,496,259,256,144,scene00004.jpg,960,540
Zapp,235,107,109,86,scene00004.jpg,960,540
Kif,277,127,213,76,scene00004.jpg,960,540
Morbo,320,169,223,94,scene00004.jpg,960,540
Lrr,249,181,160,67,scene00004.jpg,960,540
HynoPigeon,125,240,146,121,scene00004.jpg,960,540
Zoidberg,36,116,123,144,scene00005.jpg,960,540
Amy,602,60,119,104,scene00005.jpg,960,540
Hermes,732,125,97,111,scene00005.jpg,960,540
Leela,227,261,120,162,scene00005.jpg,960,540
Bender,323,224,131,112,scene00005.jpg,960,540
Phillip Fry,418,346,256,194,scene00005.jpg,960,540
Farnsworth,514,261,233,141,scene00005.jpg,960,540
Zapp,237,105,109,89,scene00005.jpg,960,540
Kif,267,125,224,72,scene00005.jpg,960,540
Morbo,378,177,170,86,scene00005.jpg,960,540
Lrr,273,176,154,72,scene00005.jpg,960,540
HynoPigeon,124,236,172,127,scene00005.jpg,960,540
Zoidberg,33,113,126,153,scene00006.jpg,960,540
Amy,584,59,139,107,scene00006.jpg,960,540
Hermes,735,126,90,111,scene00006.jpg,960,540
Leela,228,261,125,159,scene00006.jpg,960,540
Bender,312,225,146,116,scene00006.jpg,960,540
Phillip Fry,412,341,259,199,scene00006.jpg,960,540
Farnsworth,510,247,236,154,scene00006.jpg,960,540
Zapp,240,103,93,90,scene00006.jpg,960,540
Kif,268,124,228,78,scene00006.jpg,960,540
Morbo,389,166,176,106,scene00006.jpg,960,540
Lrr,282,177,168,70,scene00006.jpg,960,540
HynoPigeon,130,233,181,133,scene00006.jpg,960,540
Zoidberg,36,116,122,141,scene00007.jpg,960,540
Amy,619,48,91,114,scene00007.jpg,960,540
Hermes,736,125,91,107,scene00007.jpg,960,540
Leela,235,255,119,166,scene00007.jpg,960,540
Bender,306,222,141,118,scene00007.jpg,960,540
Phillip Fry,412,346,245,194,scene00007.jpg,960,540
Farnsworth,529,254,214,143,scene00007.jpg,960,540
HynoPigeon,130,222,176,135,scene00007.jpg,960,540
Zapp,238,89,97,113,scene00007.jpg,960,540
Kif,266,125,221,74,scene00007.jpg,960,540
Morbo,391,148,196,149,scene00007.jpg,960,540
Lrr,262,171,185,70,scene00007.jpg,960,540
Zoidberg,35,113,121,140,scene00008.jpg,960,540
Amy,615,55,97,104,scene00008.jpg,960,540
Hermes,737,126,92,103,scene00008.jpg,960,540
Leela,235,258,117,157,scene00008.jpg,960,540
Bender,314,221,136,115,scene00008.jpg,960,540
Phillip Fry,420,346,235,194,scene00008.jpg,960,540
Farnsworth,540,265,205,130,scene00008.jpg,960,540
Zapp,230,96,117,97,scene00008.jpg,960,540
Kif,261,126,228,67,scene00008.jpg,960,540
Morbo,383,144,205,156,scene00008.jpg,960,540
Lrr,265,180,206,55,scene00008.jpg,960,540
HynoPigeon,124,232,192,129,scene00008.jpg,960,540
Zoidberg,33,109,129,143,scene00009.jpg,960,540
Amy,620,56,90,104,scene00009.jpg,960,540
Hermes,736,119,96,108,scene00009.jpg,960,540
Leela,228,259,125,155,scene00009.jpg,960,540
Bender,306,219,144,115,scene00009.jpg,960,540
Phillip Fry,411,351,254,189,scene00009.jpg,960,540
Farnsworth,519,264,238,132,scene00009.jpg,960,540
Zapp,228,101,102,84,scene00009.jpg,960,540
Kif,266,122,231,73,scene00009.jpg,960,540
Morbo,401,143,197,148,scene00009.jpg,960,540
Lrr,266,174,202,65,scene00009.jpg,960,540
HynoPigeon,132,224,166,137,scene00009.jpg,960,540
Zoidberg,36,102,118,147,scene00010.jpg,960,540
Amy,623,54,92,99,scene00010.jpg,960,540
Hermes,729,115,94,108,scene00010.jpg,960,540
Leela,240,253,110,157,scene00010.jpg,960,540
Bender,315,216,125,111,scene00010.jpg,960,540
Phillip Fry,426,337,231,203,scene00010.jpg,960,540
Farnsworth,518,259,241,132,scene00010.jpg,960,540
Zapp,238,97,94,71,scene00010.jpg,960,540
Kif,264,116,216,79,scene00010.jpg,960,540
Morbo,397,138,195,157,scene00010.jpg,960,540
Lrr,271,172,195,68,scene00010.jpg,960,540
HynoPigeon,136,226,169,122,scene00010.jpg,960,540
Zoidberg,39,94,114,150,scene00011.jpg,960,540
Amy,639,46,81,105,scene00011.jpg,960,540
Hermes,735,112,92,101,scene00011.jpg,960,540
Leela,238,237,115,168,scene00011.jpg,960,540
Bender,310,212,134,111,scene00011.jpg,960,540
Phillip Fry,424,328,242,211,scene00011.jpg,960,540
Farnsworth,515,251,246,133,scene00011.jpg,960,540
Zapp,235,88,101,75,scene00011.jpg,960,540
Kif,262,116,223,73,scene00011.jpg,960,540
Morbo,439,129,150,154,scene00011.jpg,960,540
HynoPigeon,133,214,171,132,scene00011.jpg,960,540
Zoidberg,31,92,122,143,scene00012.jpg,960,540
Amy,631,39,94,103,scene00012.jpg,960,540
Hermes,739,107,86,104,scene00012.jpg,960,540
Leela,237,236,118,159,scene00012.jpg,960,540
Bender,315,208,132,108,scene00012.jpg,960,540
Phillip Fry,431,331,221,199,scene00012.jpg,960,540
Farnsworth,521,240,238,145,scene00012.jpg,960,540
Kif,242,108,230,63,scene00012.jpg,960,540
Morbo,421,126,178,152,scene00012.jpg,960,540
HynoPigeon,122,213,179,123,scene00012.jpg,960,540
Zoidberg,26,80,129,149,scene00013.jpg,960,540
Amy,623,28,107,112,scene00013.jpg,960,540
Hermes,727,102,106,108,scene00013.jpg,960,540
Amy,245,246,121,141,scene00013.jpg,960,540
Bender,319,205,123,108,scene00013.jpg,960,540
Phillip Fry,419,327,235,199,scene00013.jpg,960,540
Farnsworth,527,240,235,135,scene00013.jpg,960,540
Kif,247,99,238,69,scene00013.jpg,960,540
Morbo,405,119,187,154,scene00013.jpg,960,540
HynoPigeon,124,205,179,132,scene00013.jpg,960,540
Zoidberg,35,81,118,149,scene00014.jpg,960,540
Amy,637,33,90,103,scene00014.jpg,960,540
Hermes,732,97,97,110,scene00014.jpg,960,540
Leela,243,242,117,152,scene00014.jpg,960,540
Bender,316,194,125,115,scene00014.jpg,960,540
Phillip Fry,429,321,235,203,scene00014.jpg,960,540
Farnsworth,524,250,238,126,scene00014.jpg,960,540
Kif,242,95,235,74,scene00014.jpg,960,540
Morbo,406,106,205,169,scene00014.jpg,960,540
HynoPigeon,132,201,171,128,scene00014.jpg,960,540
Zoidberg,34,83,122,141,scene00015.jpg,960,540
Amy,637,35,96,98,scene00015.jpg,960,540
Hermes,735,102,86,98,scene00015.jpg,960,540
Leela,237,251,122,139,scene00015.jpg,960,540
Bender,315,198,129,113,scene00015.jpg,960,540
Kif,242,99,235,72,scene00015.jpg,960,540
Morbo,411,108,194,165,scene00015.jpg,960,540
Phillip Fry,426,315,231,199,scene00015.jpg,960,540
Farnsworth,519,240,240,132,scene00015.jpg,960,540
HynoPigeon,123,206,178,119,scene00015.jpg,960,540
Zoidberg,34,86,121,141,scene00016.jpg,960,540
Amy,642,29,80,115,scene00016.jpg,960,540
Hermes,733,100,97,107,scene00016.jpg,960,540
Leela,231,249,129,142,scene00016.jpg,960,540
Bender,319,203,125,100,scene00016.jpg,960,540
Phillip Fry,423,322,245,196,scene00016.jpg,960,540
Farnsworth,511,231,252,139,scene00016.jpg,960,540
Kif,239,101,243,65,scene00016.jpg,960,540
Morbo,408,109,199,156,scene00016.jpg,960,540
HynoPigeon,126,198,174,129,scene00016.jpg,960,540
Zoidberg,31,81,123,137,scene00017.jpg,960,540
Amy,641,33,83,100,scene00017.jpg,960,540
Hermes,727,91,96,103,scene00017.jpg,960,540
Leela,226,248,137,141,scene00017.jpg,960,540
Bender,311,187,142,118,scene00017.jpg,960,540
Phillip Fry,425,318,233,193,scene00017.jpg,960,540
Farnsworth,524,233,246,129,scene00017.jpg,960,540
Kif,233,95,244,71,scene00017.jpg,960,540
Morbo,413,99,191,167,scene00017.jpg,960,540
HynoPigeon,131,202,172,123,scene00017.jpg,960,540
Zoidberg,34,69,116,147,scene00018.jpg,960,540
Amy,637,25,87,102,scene00018.jpg,960,540
Hermes,728,85,92,108,scene00018.jpg,960,540
Leela,225,232,144,157,scene00018.jpg,960,540
Bender,316,179,120,115,scene00018.jpg,960,540
Phillip Fry,422,309,223,196,scene00018.jpg,960,540
Farnsworth,512,233,245,131,scene00018.jpg,960,540
Morbo,411,98,192,157,scene00018.jpg,960,540
Kif,242,82,230,74,scene00018.jpg,960,540
HynoPigeon,128,194,181,124,scene00018.jpg,960,540
Nibbler,0,266,50,83,scene00018.jpg,960,540
Zoidberg,30,66,126,162,scene00019.jpg,960,540
Amy,641,18,84,115,scene00019.jpg,960,540
Hermes,729,81,97,118,scene00019.jpg,960,540
Leela,235,231,129,149,scene00019.jpg,960,540
Bender,307,184,133,108,scene00019.jpg,960,540
Phillip Fry,424,305,224,201,scene00019.jpg,960,540
Farnsworth,514,228,245,129,scene00019.jpg,960,540
Kif,228,82,242,79,scene00019.jpg,960,540
Morbo,417,87,190,159,scene00019.jpg,960,540
HynoPigeon,120,191,187,131,scene00019.jpg,960,540
Nibbler,0,266,52,74,scene00019.jpg,960,540
Zoidberg,26,64,124,150,scene00020.jpg,960,540
Amy,641,14,80,111,scene00020.jpg,960,540
Hermes,729,79,90,105,scene00020.jpg,960,540
Leela,246,235,117,150,scene00020.jpg,960,540
Bender,303,178,140,112,scene00020.jpg,960,540
Phillip Fry,419,303,233,203,scene00020.jpg,960,540
Farnsworth,521,226,236,135,scene00020.jpg,960,540
Kif,217,73,238,83,scene00020.jpg,960,540
Morbo,425,92,179,158,scene00020.jpg,960,540
HynoPigeon,127,192,179,122,scene00020.jpg,960,540
Zoidberg,30,70,122,141,scene00021.jpg,960,540
Amy,634,19,84,99,scene00021.jpg,960,540
Hermes,728,79,90,107,scene00021.jpg,960,540
Leela,250,232,128,154,scene00021.jpg,960,540
Bender,309,184,134,108,scene00021.jpg,960,540
Phillip Fry,422,302,216,201,scene00021.jpg,960,540
Farnsworth,529,228,236,128,scene00021.jpg,960,540
Kif,217,75,229,98,scene00021.jpg,960,540
Morbo,428,91,182,158,scene00021.jpg,960,540
HynoPigeon,119,197,192,115,scene00021.jpg,960,540
Zoidberg,31,60,122,153,scene00022.jpg,960,540
Amy,637,21,81,96,scene00022.jpg,960,540
Hermes,729,83,90,100,scene00022.jpg,960,540
Leela,256,235,122,158,scene00022.jpg,960,540
Bender,304,176,142,112,scene00022.jpg,960,540
Phillip Fry,425,300,214,201,scene00022.jpg,960,540
Farnsworth,523,225,259,133,scene00022.jpg,960,540
Kif,220,74,228,105,scene00022.jpg,960,540
Morbo,419,90,200,159,scene00022.jpg,960,540
HynoPigeon,120,190,187,121,scene00022.jpg,960,540
Scruffy,814,165,146,71,scene00022.jpg,960,540
Zoidberg,28,65,122,145,scene00023.jpg,960,540
Amy,636,21,84,97,scene00023.jpg,960,540
Hermes,730,79,90,104,scene00023.jpg,960,540
Leela,269,240,121,154,scene00023.jpg,960,540
Bender,310,180,136,108,scene00023.jpg,960,540
Phillip Fry,423,300,214,196,scene00023.jpg,960,540
Farnsworth,514,226,272,130,scene00023.jpg,960,540
Kif,220,75,221,99,scene00023.jpg,960,540
Morbo,432,91,191,157,scene00023.jpg,960,540
HynoPigeon,119,193,181,117,scene00023.jpg,960,540
Scruffy,813,154,147,82,scene00023.jpg,960,540
Nibbler,0,258,57,76,scene00023.jpg,960,540
