Phil,59,37,371,213,scene00001.jpg,960,540
Sharon,444,52,208,155,scene00001.jpg,960,540
Tiff,0,243,179,175,scene00001.jpg,960,540
Whitney,764,86,196,214,scene00001.jpg,960,540
Kim,506,2,197,92,scene00001.jpg,960,540
Phil,62,32,372,231,scene00002.jpg,960,540
Sharon,445,46,213,157,scene00002.jpg,960,540
Tiff,0,252,208,170,scene00002.jpg,960,540
Whitney,791,93,169,190,scene00002.jpg,960,540
Kim,516,2,183,55,scene00002.jpg,960,540
Billy,1,11,71,125,scene00002.jpg,960,540
Phil,68,34,380,251,scene00003.jpg,960,540
Sharon,457,59,213,152,scene00003.jpg,960,540
Tiff,5,274,212,145,scene00003.jpg,960,540
Whitney,792,93,168,196,scene00003.jpg,960,540
Kim,529,3,185,60,scene00003.jpg,960,540
Billy,2,9,87,106,scene00003.jpg,960,540
Phil,88,33,374,265,scene00004.jpg,960,540
Sharon,453,52,226,157,scene00004.jpg,960,540
Tiff,0,275,237,144,scene00004.jpg,960,540
Whitney,808,94,152,212,scene00004.jpg,960,540
Billy,3,15,96,142,scene00004.jpg,960,540
Kim,550,0,172,69,scene00004.jpg,960,540
Martin,208,0,280,80,scene00004.jpg,960,540
Phil,96,40,386,266,scene00005.jpg,960,540
Sharon,471,61,217,149,scene00005.jpg,960,540
Tiff,0,284,264,139,scene00005.jpg,960,540
Whitney,815,92,145,229,scene00005.jpg,960,540
Kim,562,1,177,74,scene00005.jpg,960,540
Billy,0,23,122,111,scene00005.jpg,960,540
Martin,209,0,291,85,scene00005.jpg,960,540
Stacey,177,314,376,223,scene00005.jpg,960,540
Phil,106,36,379,277,scene00006.jpg,960,540
Sharon,463,67,226,140,scene00006.jpg,960,540
Tiff,0,281,249,161,scene00006.jpg,960,540
Whitney,818,98,142,239,scene00006.jpg,960,540
Kim,557,2,190,94,scene00006.jpg,960,540
Billy,0,20,137,104,scene00006.jpg,960,540
Martin,209,2,300,69,scene00006.jpg,960,540
Stacey,171,314,358,224,scene00006.jpg,960,540
Phil,123,38,374,263,scene00007.jpg,960,540
Sharon,463,63,235,156,scene00007.jpg,960,540
Tiff,1,283,215,149,scene00007.jpg,960,540
Whitney,822,111,138,200,scene00007.jpg,960,540
Kim,565,2,191,114,scene00007.jpg,960,540
Billy,0,11,144,134,scene00007.jpg,960,540
Martin,229,0,288,106,scene00007.jpg,960,540
Stacey,198,310,374,230,scene00007.jpg,960,540
Phil,125,38,386,242,scene00008.jpg,960,540
Sharon,480,69,222,162,scene00008.jpg,960,540
Tiff,18,282,194,142,scene00008.jpg,960,540
